2013-01-02,1001.2862,,,
2013-01-03,1001.2862,,,
2013-01-04,1001.2862,,,
2013-01-05,1001.2862,,,
2013-01-06,1001.2862,,,
2013-01-07,1001.2862,,,
2013-01-08,1001.2862,,,
2013-01-09,1001.2862,,,
2013-01-10,1001.2862,,,
2013-01-11,1001.2862,,,
2013-01-12,1001.2862,,,
2013-01-13,1001.2862,,,
2013-01-14,1001.2862,,,
2013-01-15,1001.2862,,,
2013-01-16,1001.2862,,,
2013-01-17,1001.2862,,,
2013-01-18,1001.2862,,,
2013-01-19,1001.2862,,,
2013-01-20,1001.2862,,,
2013-01-21,1001.2862,,,
2013-01-22,1001.2862,,,
2013-01-23,1001.2862,,,
2013-01-24,1001.2862,,,
2013-01-25,1001.2862,,,
2013-01-26,1001.2862,,,
2013-01-27,1001.2862,,,
2013-01-28,1001.2862,,,
2013-01-29,1001.2862,,,
2013-01-30,1001.2862,,,
2013-01-31,1001.2862,,,
2013-02-01,1001.2862,,,
2013-02-02,1001.2862,,,
2013-02-03,1001.2862,,,
2013-02-04,1001.2862,,,
2013-02-05,1001.2862,,,
2013-02-06,1001.2862,,,
2013-02-07,1001.2862,,,
2013-02-08,1001.2862,,,
2013-02-09,1001.2862,,,
2013-02-10,1001.2862,,,
2013-02-11,1001.2862,,,
2013-02-12,1001.2862,,,
2013-02-13,1001.2862,,,
2013-02-14,1001.2862,,,
2013-02-15,1001.2862,,,
2013-02-16,1001.2862,,,
2013-02-17,1001.2862,,,
2013-02-18,1001.2862,,,
2013-02-19,1001.2862,,,
2013-02-20,1001.2862,,,
2013-02-21,1001.2862,,,
2013-02-22,1001.2862,,,
2013-02-23,1001.2862,,,
2013-02-24,1001.2862,,,
2013-02-25,1001.2862,,,
2013-02-26,1001.2862,,,
2013-02-27,1001.2862,,,
2013-02-28,1001.2862,,,
2013-03-01,1001.2862,,,
2013-03-02,1001.2862,,,
2013-03-03,1001.2862,,,
2013-03-04,1001.2862,,,
2013-03-05,1001.2862,,,
2013-03-06,1001.2862,,,
2013-03-07,1001.3335,,,
2013-03-08,1001.3335,,,
2013-03-09,1001.3335,,,
2013-03-10,1001.3335,,,
2013-03-11,1001.3335,,,
2013-03-12,1001.3335,,,
2013-03-13,1001.3335,,,
2013-03-14,1001.3335,,,
2013-03-15,1001.3335,,,
2013-03-16,1001.3335,,,
2013-03-17,1001.3335,,,
2013-03-18,1001.3335,,,
2013-03-19,1001.3335,,,
