2013-01-07,1009.4394,,,
2013-01-08,1009.4394,,,
2013-01-09,1009.4394,,,
2013-01-10,1009.4394,,,
2013-01-11,1009.4394,,,
2013-01-12,1009.4394,,,
2013-01-13,1009.4394,,,
2013-01-14,1009.4394,,,
2013-01-15,1009.4394,,,
2013-01-16,1009.4394,,,
2013-01-17,1009.4394,,,
2013-01-18,1009.4394,,,
2013-01-19,1009.4394,,,
2013-01-20,1009.4394,,,
2013-01-21,1009.4394,,,
2013-01-22,1009.4394,,,
2013-01-23,1009.4394,,,
2013-01-24,1009.4394,,,
2013-01-25,1009.4394,,,
2013-01-26,1009.4394,,,
2013-01-27,1009.4394,,,
2013-01-28,1009.4394,,,
2013-01-29,1009.4394,,,
2013-01-30,1009.4394,,,
2013-01-31,1009.4394,,,
2013-02-01,1009.4394,,,
2013-02-02,1009.4394,,,
2013-02-03,1009.4394,,,
2013-02-04,1009.4394,,,
2013-02-05,1009.4394,,,
2013-02-06,1009.4394,,,
2013-02-07,1009.4394,,,
2013-02-08,1009.4394,,,
2013-02-09,1009.4394,,,
2013-02-10,1009.4394,,,
2013-02-11,1009.4394,,,
2013-02-12,1009.4394,,,
2013-02-13,1009.4394,,,
2013-02-14,1009.4394,,,
2013-02-15,1009.4394,,,
2013-02-16,1009.4394,,,
2013-02-17,1009.4394,,,
2013-02-18,1009.4394,,,
2013-02-19,1009.4394,,,
2013-02-20,1009.4394,,,
2013-02-21,1009.4394,,,
2013-02-22,1009.4394,,,
2013-02-23,1009.4394,,,
2013-02-24,1009.4394,,,
2013-02-25,1009.4394,,,
2013-02-26,1009.4394,,,
2013-02-27,1009.4394,,,
2013-02-28,1009.4394,,,
2013-03-01,1009.4394,,,
2013-03-02,1009.4394,,,
2013-03-03,1009.4394,,,
2013-03-04,1009.4394,,,
2013-03-05,1009.4394,,,
2013-03-06,1009.4394,,,
2013-03-07,1009.4394,,,
2013-03-08,1009.4394,,,
2013-03-09,1009.4394,,,
2013-03-10,1009.4394,,,
2013-03-11,1009.4394,,,
2013-03-12,1009.4394,,,
2013-03-13,1009.4394,,,
2013-03-14,1009.4394,,,
2013-03-15,1009.4394,,,
2013-03-16,1009.4394,,,
2013-03-17,1009.4394,,,
2013-03-18,1009.4394,,,
2013-03-19,1009.4394,,,
2013-03-20,1009.4394,,,
2013-03-21,1009.4394,,,
2013-03-22,1009.4394,,,
2013-03-23,1009.4394,,,
2013-03-24,1009.4394,,,
2013-03-25,1009.4394,,,
2013-03-26,1009.4394,,,
2013-03-27,1009.4394,,,
2013-03-28,1009.4394,,,
2013-03-29,1009.4394,,,
2013-03-30,1009.4394,,,
2013-03-31,1009.4394,,,
2013-04-01,1009.4394,,,
2013-04-02,1008.8088,,,
2013-04-03,1008.8088,,,
2013-04-04,1008.8088,,,
2013-04-05,1008.8088,,,
2013-04-06,1008.8088,,,
2013-04-07,1008.8088,,,
2013-04-08,1008.8088,,,
2013-04-09,1008.8088,,,
2013-04-10,1008.8088,,,
2013-04-11,1008.8088,,,
2013-04-12,1008.8088,,,
2013-04-13,1008.8088,,,
2013-04-14,1008.8088,,,
2013-04-15,1008.8088,,,
2013-04-16,1008.8088,,,
2013-04-17,1008.8088,,,
2013-04-18,1008.8088,,,
2013-04-19,1008.8088,,,
2013-04-20,1008.8088,,,
2013-04-21,1008.8088,,,
2013-04-22,1008.8088,,,
2013-04-23,1008.8088,,,
2013-04-24,1008.8088,,,
2013-04-25,1008.8088,,,
2013-04-26,1008.8088,,,
2013-04-27,1008.8088,,,
2013-04-28,1008.8088,,,
2013-04-29,1008.8088,,,
2013-04-30,1008.8088,,,
2013-05-01,1008.8088,,,
2013-05-02,1008.8088,,,
2013-05-03,1008.6697,,,
2013-05-04,1008.6697,,,
2013-05-05,1008.6697,,,
2013-05-06,1008.6697,,,
2013-05-07,1008.6697,,,
2013-05-08,1008.6697,,,
2013-05-09,1008.6697,,,
2013-05-10,1008.6697,,,
2013-05-11,1008.6697,,,
2013-05-12,1008.6697,,,
2013-05-13,1008.6697,,,
2013-05-14,1008.6697,,,
2013-05-15,1008.6697,,,
2013-05-16,1008.6697,,,
2013-05-17,1008.6697,,,
2013-05-18,1008.6697,,,
2013-05-19,1008.6697,,,
2013-05-20,1008.6697,,,
2013-05-21,1008.6697,,,
2013-05-22,1008.6697,,,
2013-05-23,1008.6697,,,
2013-05-24,1008.6697,,,
2013-05-25,1008.6697,,,
2013-05-26,1008.6697,,,
2013-05-27,1008.6697,,,
2013-05-28,1008.6697,,,
2013-05-29,1008.6697,,,
2013-05-30,1008.6697,,,
2013-05-31,1008.6697,,,
2013-06-01,1008.6697,,,
2013-06-02,1008.6697,,,
2013-06-03,1008.6697,,,
2013-06-04,1008.6697,,,
2013-06-05,1008.6697,,,
2013-06-06,1008.6697,,,
2013-06-07,1008.6697,,,
2013-06-08,1008.6697,,,
2013-06-09,1008.6697,,,
2013-06-10,1008.6697,,,
2013-06-11,1008.6697,,,
2013-06-12,1008.6697,,,
2013-06-13,1008.6697,,,
2013-06-14,1008.6697,,,
2013-06-15,1008.6697,,,
2013-06-16,1008.6697,,,
2013-06-17,1008.6697,,,
2013-06-18,1008.6697,,,
2013-06-19,1008.6697,,,
2013-06-20,1008.5144,,,
2013-06-21,1008.5144,,,
2013-06-22,1008.5144,,,
2013-06-23,1008.5144,,,
2013-06-24,1008.5144,,,
2013-06-25,1008.5144,,,
2013-06-26,1008.5144,,,
2013-06-27,1008.5144,,,
2013-06-28,1008.5144,,,
2013-06-29,1008.5144,,,
2013-06-30,1008.5144,,,
2013-07-01,1008.5144,,,
2013-07-02,1008.5144,,,
2013-07-03,1008.5144,,,
2013-07-04,1008.5144,,,
2013-07-05,1008.5144,,,
2013-07-06,1008.5144,,,
2013-07-07,1008.5144,,,
2013-07-08,1008.5144,,,
2013-07-09,1008.5144,,,
2013-07-10,1008.5144,,,
2013-07-11,1008.5144,,,
2013-07-12,1008.5144,,,
2013-07-13,1008.5144,,,
2013-07-14,1008.5144,,,
2013-07-15,1008.5144,,,
2013-07-16,1000.5484,,,
2013-07-17,1001.5107,,,
2013-07-18,1003.9986,,,
2013-07-19,1004.1121,,,
2013-07-20,1004.1121,,,
2013-07-21,1004.1121,,,
2013-07-22,1004.331,,,
2013-07-23,1002.7788,,,
2013-07-24,999.5738,,,
2013-07-25,1000.5317,,,
2013-07-26,1001.3467,,,
2013-07-27,1001.3467,,,
2013-07-28,1001.3467,,,
2013-07-29,1002.41,,,
2013-07-30,1002.8422,,,
2013-07-31,1002.6761,,,
2013-08-01,1003.235,,,
2013-08-02,1003.8392,,,
2013-08-03,1003.8392,,,
2013-08-04,1003.8392,,,
2013-08-05,1004.7574,,,
2013-08-06,1004.7646,,,
2013-08-07,1005.0789,,,
2013-08-08,1005.3428,,,
2013-08-09,1005.3428,,,
2013-08-10,1005.3428,,,
2013-08-11,1005.3428,,,
2013-08-12,1005.7702,,,
2013-08-13,1005.7203,,,
2013-08-14,1005.3928,,,
2013-08-15,1005.3928,,,
2013-08-16,1005.1957,,,
2013-08-17,1005.1957,,,
2013-08-18,1005.1957,,,
2013-08-19,1004.7987,,,
2013-08-20,1004.1139,,,
2013-08-21,1006.9182,,,
2013-08-22,1006.7278,,,
2013-08-23,1007.2053,,,
2013-08-24,1007.2053,,,
2013-08-25,1007.2053,,,
2013-08-26,1007.9458,,,
2013-08-27,1007.991,,,
2013-08-28,1007.2892,,,
2013-08-29,1007.5388,,,
2013-08-30,1008.356,,,
2013-08-31,1008.356,,,
2013-09-01,1008.356,,,
2013-09-02,1008.5144,,,
2013-09-03,1008.5144,,,
2013-09-04,1008.5144,,,
2013-09-05,1008.5144,,,
2013-09-06,1008.0066,,,
2013-09-07,1008.0066,,,
2013-09-08,1008.0066,,,
2013-09-09,1008.0066,,,
2013-09-10,1008.5144,,,
2013-09-11,1008.5144,,,
2013-09-12,1008.5144,,,
2013-09-13,1008.3405,,,
2013-09-14,1008.3405,,,
2013-09-15,1008.3405,,,
2013-09-16,1008.5144,,,
2013-09-17,1008.5144,,,
2013-09-18,1008.5144,,,
2013-09-19,1008.5144,,,
2013-09-20,1008.5144,,,
2013-09-21,1008.5144,,,
2013-09-22,1008.5144,,,
2013-09-23,1008.5144,,,
2013-09-24,1008.5144,,,
2013-09-25,1008.5144,,,
2013-09-26,1008.5144,,,
2013-09-27,1008.5144,,,
2013-09-28,1008.5144,,,
2013-09-29,1008.5144,,,
2013-09-30,1008.5144,,,
2013-10-01,1008.5144,,,
2013-10-02,1008.5144,,,
2013-10-03,1008.5144,,,
2013-10-04,1008.5144,,,
2013-10-05,1008.5144,,,
2013-10-06,1008.5144,,,
2013-10-07,1008.5144,,,
2013-10-08,1008.5144,,,
2013-10-09,1008.5144,,,
2013-10-10,1008.5144,,,
2013-10-11,1008.5144,,,
2013-10-12,1008.5144,,,
2013-10-13,1008.5144,,,
2013-10-14,1008.5144,,,
2013-10-15,1008.5144,,,
2013-10-16,1008.5144,,,
2013-10-17,1008.5144,,,
2013-10-18,1008.5144,,,
2013-10-19,1008.5144,,,
2013-10-20,1008.5144,,,
2013-10-21,1008.5144,,,
2013-10-22,1008.5144,,,
2013-10-23,1008.5144,,,
2013-10-24,1008.5144,,,
2013-10-25,1008.5144,,,
2013-10-26,1008.5144,,,
2013-10-27,1008.5144,,,
2013-10-28,1008.5144,,,
2013-10-29,1008.5144,,,
2013-10-30,1008.5144,,,
2013-10-31,1008.5144,,,
2013-11-01,1008.5144,,,
2013-11-02,1008.5144,,,
2013-11-03,1008.5144,,,
2013-11-04,1008.5144,,,
2013-11-05,1008.5144,,,
2013-11-06,1008.5144,,,
2013-11-07,1008.244,,,
2013-11-08,1008.3723,,,
2013-11-09,1008.3723,,,
2013-11-10,1008.3723,,,
2013-11-11,1008.5144,,,
2013-11-12,1008.369,,,
2013-11-13,1008.5144,,,
2013-11-14,1008.5144,,,
2013-11-15,1008.5144,,,
2013-11-16,1008.5144,,,
2013-11-17,1008.5144,,,
2013-11-18,1008.5144,,,
