2015-03-30,10.0045,,,
2015-03-31,10.017,,,
2015-04-01,10.017,,,
2015-04-02,10.017,,,
2015-04-03,10.017,,,
2015-04-04,10.017,,,
2015-04-05,10.017,,,
2015-04-06,10.037,,,
2015-04-07,10.0501,,,
2015-04-08,10.0465,,,
2015-04-09,10.0521,,,
2015-04-10,10.0539,,,
2015-04-11,10.0539,,,
2015-04-12,10.0539,,,
2015-04-13,10.0582,,,
2015-04-14,10.0582,,,
2015-04-15,10.0583,,,
2015-04-16,10.0658,,,
2015-04-17,10.0676,,,
2015-04-18,10.0676,,,
2015-04-19,10.0676,,,
2015-04-20,10.0725,,,
2015-04-21,10.0763,,,
2015-04-22,10.0812,,,
2015-04-23,10.1055,,,
2015-04-24,10.0583,,,
2015-04-25,10.0583,,,
2015-04-26,10.0583,,,
2015-04-27,10.0193,,,
2015-04-28,10.0496,,,
2015-04-29,10.0251,,,
2015-04-30,9.9783,,,
2015-05-01,9.9783,,,
2015-05-02,9.9783,,,
2015-05-03,9.9783,,,
2015-05-04,9.9783,,,
2015-05-05,10.0561,,,
2015-05-06,10.0337,,,
2015-05-07,9.9967,,,
2015-05-08,10.0683,,,
2015-05-09,10.0683,,,
2015-05-10,10.0683,,,
2015-05-11,10.1498,,,
2015-05-12,10.1146,,,
2015-05-13,10.162,,,
2015-05-14,10.1416,,,
2015-05-15,10.1422,,,
2015-05-16,10.1422,,,
2015-05-17,10.1422,,,
2015-05-18,10.2001,,,
2015-05-19,10.1813,,,
2015-05-20,10.1974,,,
2015-05-21,10.1873,,,
2015-05-22,10.195,,,
2015-05-23,10.195,,,
2015-05-24,10.195,,,
2015-05-25,10.1489,,,
2015-05-26,10.1228,,,
2015-05-27,10.0906,,,
2015-05-28,10.0855,,,
2015-05-29,10.1646,,,
2015-05-30,10.1646,,,
2015-05-31,10.1646,,,
2015-06-01,10.1594,,,
2015-06-02,10.1026,,,
2015-06-03,10.0516,,,
2015-06-04,10.0231,,,
2015-06-05,9.9955,,,
2015-06-06,9.9955,,,
2015-06-07,9.9955,,,
2015-06-08,9.9561,,,
2015-06-09,9.9408,,,
2015-06-10,9.9895,,,
2015-06-11,9.9462,,,
2015-06-12,9.9396,,,
2015-06-13,9.9396,,,
2015-06-14,9.9396,,,
2015-06-15,9.9454,,,
2015-06-16,9.9446,,,
2015-06-17,9.9647,,,
2015-06-18,10.0131,,,
2015-06-19,10.03,,,
2015-06-20,10.03,,,
2015-06-21,10.03,,,
2015-06-22,10.0662,,,
2015-06-23,10.1045,,,
2015-06-24,10.0827,,,
2015-06-25,10.0884,,,
2015-06-26,10.0691,,,
2015-06-27,10.0691,,,
2015-06-28,10.0691,,,
2015-06-29,10.0382,,,
2015-06-30,10.0521,,,
2015-07-01,10.0983,,,
2015-07-02,10.0864,,,
2015-07-03,10.1001,,,
2015-07-04,10.1001,,,
2015-07-05,10.1001,,,
2015-07-06,10.1107,,,
2015-07-07,10.0899,,,
2015-07-08,10.0545,,,
2015-07-09,10.0987,,,
2015-07-10,10.0443,,,
2015-07-11,10.0443,,,
2015-07-12,10.0443,,,
2015-07-13,10.1525,,,
2015-07-14,10.0944,,,
2015-07-15,10.1326,,,
2015-07-16,10.173,,,
2015-07-17,10.167,,,
2015-07-18,10.167,,,
2015-07-19,10.167,,,
2015-07-20,10.1472,,,
2015-07-21,10.1184,,,
2015-07-22,10.1858,,,
2015-07-23,10.1549,,,
2015-07-24,10.1218,,,
2015-07-25,10.1218,,,
2015-07-26,10.1218,,,
2015-07-27,10.0827,,,
2015-07-28,10.0661,,,
2015-07-29,10.0841,,,
2015-07-30,10.1022,,,
2015-07-31,10.1669,,,
2015-08-01,10.1669,,,
2015-08-02,10.1669,,,
2015-08-03,10.1619,,,
2015-08-04,10.1376,,,
2015-08-05,10.149,,,
2015-08-06,10.1537,,,
2015-08-07,10.1312,,,
2015-08-08,10.1312,,,
2015-08-09,10.1312,,,
2015-08-10,10.1031,,,
2015-08-11,10.0744,,,
2015-08-12,10.0396,,,
2015-08-13,10.1796,,,
2015-08-14,10.1655,,,
2015-08-15,10.1655,,,
2015-08-16,10.1655,,,
2015-08-17,10.1394,,,
2015-08-18,10.1394,,,
2015-08-19,10.1264,,,
2015-08-20,10.0897,,,
2015-08-21,10.0542,,,
2015-08-22,10.0542,,,
2015-08-23,10.0542,,,
2015-08-24,10.2421,,,
2015-08-25,10.2522,,,
2015-08-26,10.1998,,,
2015-08-27,10.2788,,,
2015-08-28,10.2802,,,
2015-08-29,10.2802,,,
2015-08-30,10.2802,,,
2015-08-31,9.8627,,,
2015-09-01,10.1982,,,
2015-09-02,10.1493,,,
2015-09-03,10.1777,,,
2015-09-04,10.123,,,
2015-09-05,10.123,,,
2015-09-06,10.123,,,
2015-09-07,10.0741,,,
2015-09-08,10.1287,,,
2015-09-09,10.1884,,,
2015-09-10,10.143,,,
2015-09-11,10.1168,,,
2015-09-12,10.1168,,,
2015-09-13,10.1168,,,
2015-09-14,10.1419,,,
2015-09-15,10.1075,,,
2015-09-16,10.1227,,,
2015-09-17,10.1227,,,
2015-09-18,10.1526,,,
2015-09-19,10.1526,,,
2015-09-20,10.1526,,,
2015-09-21,10.1339,,,
2015-09-22,10.0977,,,
2015-09-23,10.0832,,,
2015-09-24,10.0753,,,
2015-09-25,10.0753,,,
2015-09-26,10.0753,,,
2015-09-27,10.0753,,,
2015-09-28,10.0412,,,
2015-09-29,10.059,,,
2015-09-30,9.8707,,,
2015-10-01,10.0801,,,
2015-10-02,10.0801,,,
2015-10-03,10.0801,,,
2015-10-04,10.0801,,,
2015-10-05,10.1885,,,
2015-10-06,10.1833,,,
2015-10-07,10.1784,,,
2015-10-08,10.1465,,,
2015-10-09,10.1667,,,
2015-10-10,10.1667,,,
2015-10-11,10.1667,,,
2015-10-12,10.1305,,,
2015-10-13,10.1123,,,
2015-10-14,10.0877,,,
2015-10-15,10.1197,,,
2015-10-16,10.1427,,,
2015-10-17,10.1427,,,
2015-10-18,10.1427,,,
2015-10-19,10.1523,,,
2015-10-20,10.1323,,,
2015-10-21,10.1136,,,
2015-10-22,10.1136,,,
2015-10-23,10.1332,,,
2015-10-24,10.1332,,,
2015-10-25,10.1332,,,
2015-10-26,10.111,,,
2015-10-27,10.0879,,,
2015-10-28,10.0607,,,
2015-10-29,10.0282,,,
2015-10-30,9.9948,,,
2015-10-31,9.9948,,,
2015-11-01,9.9948,,,
2015-11-02,9.9777,,,
2015-11-03,9.9719,,,
2015-11-04,9.9513,,,
2015-11-05,9.9184,,,
2015-11-06,9.9075,,,
2015-11-07,9.9075,,,
2015-11-08,9.9075,,,
2015-11-09,9.8815,,,
2015-11-10,9.8648,,,
2015-11-11,9.8648,,,
2015-11-12,9.8648,,,
2015-11-13,9.8526,,,
2015-11-14,9.8526,,,
2015-11-15,9.8526,,,
2015-11-16,9.869,,,
2015-11-17,9.8726,,,
2015-11-18,9.8463,,,
2015-11-19,9.9173,,,
2015-11-20,9.9114,,,
2015-11-21,9.9114,,,
2015-11-22,9.9114,,,
2015-11-23,9.899,,,
2015-11-24,9.8781,,,
2015-11-25,9.8781,,,
2015-11-26,9.8971,,,
2015-11-27,9.9185,,,
2015-11-28,9.9185,,,
2015-11-29,9.9185,,,
2015-11-30,9.9017,,,
2015-12-01,9.9028,,,
2015-12-02,9.8883,,,
2015-12-03,9.8649,,,
2015-12-04,9.8391,,,
2015-12-05,9.8391,,,
2015-12-06,9.8391,,,
2015-12-07,9.8187,,,
2015-12-08,9.7861,,,
2015-12-09,9.7615,,,
2015-12-10,9.794,,,
2015-12-11,9.755,,,
2015-12-12,9.755,,,
2015-12-13,9.755,,,
2015-12-14,9.7635,,,
2015-12-15,9.7798,,,
2015-12-16,9.7996,,,
2015-12-17,9.8556,,,
2015-12-18,9.8316,,,
2015-12-19,9.8316,,,
2015-12-20,9.8316,,,
2015-12-21,9.8664,,,
2015-12-22,9.8449,,,
2015-12-23,9.8833,,,
2015-12-24,9.8833,,,
2015-12-25,9.8833,,,
2015-12-26,9.8833,,,
2015-12-27,9.8833,,,
2015-12-28,9.9021,,,
2015-12-29,9.8925,,,
2015-12-30,9.8706,,,
2015-12-31,9.8937,,,
2016-01-01,9.8953,,,
2016-01-02,9.8953,,,
2016-01-03,9.8953,,,
2016-01-04,9.8985,,,
2016-01-05,9.8844,,,
2016-01-06,9.8596,,,
2016-01-07,9.8617,,,
2016-01-08,9.8662,,,
2016-01-09,9.8662,,,
2016-01-10,9.8662,,,
2016-01-11,9.8438,,,
2016-01-12,9.8141,,,
2016-01-13,9.8274,,,
2016-01-14,9.8059,,,
2016-01-15,9.7791,,,
2016-01-16,9.7791,,,
2016-01-17,9.7791,,,
2016-01-18,9.7602,,,
2016-01-19,9.8003,,,
2016-01-20,9.7795,,,
2016-01-21,9.7614,,,
2016-01-22,9.8596,,,
2016-01-23,9.8596,,,
2016-01-24,9.8596,,,
2016-01-25,9.8556,,,
2016-01-26,9.8556,,,
2016-01-27,9.8413,,,
2016-01-28,9.8234,,,
2016-01-29,9.914,,,
2016-01-30,9.914,,,
2016-01-31,9.914,,,
2016-02-01,9.8987,,,
2016-02-02,9.872,,,
2016-02-03,9.8405,,,
2016-02-04,9.8468,,,
2016-02-05,9.8813,,,
2016-02-06,9.8813,,,
2016-02-07,9.8813,,,
2016-02-08,9.8551,,,
2016-02-09,9.8261,,,
2016-02-10,9.8017,,,
2016-02-11,9.8365,,,
2016-02-12,9.8165,,,
2016-02-13,9.8165,,,
2016-02-14,9.8165,,,
2016-02-15,9.9357,,,
2016-02-16,9.9007,,,
2016-02-17,9.9046,,,
2016-02-18,9.9298,,,
2016-02-19,9.9298,,,
2016-02-20,9.9298,,,
2016-02-21,9.9298,,,
2016-02-22,9.9057,,,
2016-02-23,9.8648,,,
2016-02-24,9.8313,,,
2016-02-25,9.4985,,,
2016-02-26,9.8095,,,
2016-02-27,9.8095,,,
2016-02-28,9.8095,,,
2016-02-29,9.8046,,,
2016-03-01,9.9841,,,
2016-03-02,10.0597,,,
2016-03-03,10.0941,,,
2016-03-04,10.078,,,
2016-03-05,10.078,,,
2016-03-06,10.078,,,
2016-03-07,10.078,,,
2016-03-08,10.0635,,,
