2013-01-04,1000.438,,,
2013-01-05,1000.438,,,
2013-01-06,1000.438,,,
2013-01-07,1000.4507,,,
2013-01-08,1000.4445,,,
2013-01-09,1000.434,,,
2013-01-10,1000.4505,,,
2013-01-11,1000.4376,,,
2013-01-12,1000.4376,,,
2013-01-13,1000.4376,,,
2013-01-14,1000.4442,,,
2013-01-15,1000.4632,,,
2013-01-16,1000.4352,,,
2013-01-17,1000.429,,,
2013-01-18,1000.503,,,
2013-01-19,1000.503,,,
2013-01-20,1000.503,,,
2013-01-21,1000.4156,,,
2013-01-22,1000.3999,,,
2013-01-23,1000.4068,,,
2013-01-24,1000.5085,,,
2013-01-25,1000.5085,,,
2013-01-26,1000.5085,,,
2013-01-27,1000.5085,,,
2013-01-28,1000.3929,,,
2013-01-29,1000.4072,,,
2013-01-30,1000.3938,,,
2013-01-31,1000.3816,,,
2013-02-01,1000.3982,,,
2013-02-02,1000.3982,,,
2013-02-03,1000.3982,,,
2013-02-04,1000.3208,,,
2013-02-05,1000.3115,,,
2013-02-06,1000.3034,,,
2013-02-07,1000.2731,,,
2013-02-08,1000.3431,,,
2013-02-09,1000.3431,,,
2013-02-10,1000.3431,,,
2013-02-11,1000.2731,,,
2013-02-12,1000.3277,,,
2013-02-13,1000.3277,,,
2013-02-14,1000.3277,,,
2013-02-15,1000.3277,,,
2013-02-16,1000.3277,,,
2013-02-17,1000.3277,,,
2013-02-18,1000.3277,,,
2013-02-19,1000.3277,,,
2013-02-20,1000.3277,,,
2013-02-21,1000.3277,,,
2013-02-22,1000.3277,,,
2013-02-23,1000.3277,,,
2013-02-24,1000.3277,,,
2013-02-25,1000.3277,,,
2013-02-26,1000.3277,,,
2013-02-27,1000.3277,,,
2013-02-28,1000.3277,,,
2013-03-01,1000.3277,,,
2013-03-02,1000.3277,,,
2013-03-03,1000.3277,,,
2013-03-04,1000.3277,,,
2013-03-05,1000.3277,,,
2013-03-06,1000.3277,,,
2013-03-07,1000.3277,,,
2013-03-08,1000.3277,,,
2013-03-09,1000.3277,,,
2013-03-10,1000.3277,,,
2013-03-11,1000.3277,,,
2013-03-12,1000.3277,,,
2013-03-13,1000.3277,,,
2013-03-14,1000.3277,,,
2013-03-15,1000.3277,,,
2013-03-16,1000.3277,,,
2013-03-17,1000.3277,,,
2013-03-18,1000.3277,,,
2013-03-19,1000.3277,,,
2013-03-20,1000.3277,,,
2013-03-21,1000.3277,,,
2013-03-22,1000.3277,,,
2013-03-23,1000.3277,,,
2013-03-24,1000.3277,,,
2013-03-25,1000.3277,,,
2013-03-26,1000.3277,,,
2013-03-27,1000.3277,,,
2013-03-28,1000.3277,,,
2013-03-29,1000.3277,,,
2013-03-30,1000.3277,,,
2013-03-31,1000.3277,,,
2013-04-01,1000.3277,,,
2013-04-02,1000.3277,,,
2013-04-03,1000.3277,,,
2013-04-04,1000.3277,,,
2013-04-05,1000.3277,,,
2013-04-06,1000.3277,,,
2013-04-07,1000.3277,,,
2013-04-08,1000.3277,,,
2013-04-09,1000.3277,,,
2013-04-10,1000.3277,,,
2013-04-11,1000.3277,,,
2013-04-12,1000.3277,,,
2013-04-13,1000.3277,,,
2013-04-14,1000.3277,,,
2013-04-15,1000.3277,,,
2013-04-16,1000.3277,,,
2013-04-17,1000.3277,,,
2013-04-18,1000.3277,,,
2013-04-19,1000.3277,,,
2013-04-20,1000.3277,,,
2013-04-21,1000.3277,,,
2013-04-22,1000.3277,,,
2013-04-23,1000.3277,,,
2013-04-24,1000.3277,,,
2013-04-25,1000.3277,,,
2013-04-26,1000.3277,,,
2013-04-27,1000.3277,,,
2013-04-28,1000.3277,,,
2013-04-29,1000.3277,,,
2013-04-30,1000.3277,,,
2013-05-01,1000.3277,,,
2013-05-02,1000.3386,,,
2013-05-03,1000.3386,,,
2013-05-04,1000.3386,,,
2013-05-05,1000.3386,,,
2013-05-06,1000.3386,,,
2013-05-07,1000.3386,,,
2013-05-08,1000.4109,,,
2013-05-09,1000.5358,,,
2013-05-10,1000.5451,,,
2013-05-11,1000.5451,,,
2013-05-12,1000.5451,,,
2013-05-13,1000.5451,,,
2013-05-14,1000.5451,,,
2013-05-15,1000.6159,,,
2013-05-16,1000.6159,,,
2013-05-17,1000.6159,,,
2013-05-18,1000.6159,,,
2013-05-19,1000.6159,,,
2013-05-20,1000.6159,,,
2013-05-21,1000.6159,,,
2013-05-22,1000.6159,,,
2013-05-23,1000.6159,,,
2013-05-24,1000.6159,,,
2013-05-25,1000.6159,,,
2013-05-26,1000.6159,,,
2013-05-27,1000.6159,,,
2013-05-28,1000.6159,,,
2013-05-29,1000.6159,,,
2013-05-30,1000.6159,,,
2013-05-31,1000.6159,,,
2013-06-01,1000.6159,,,
2013-06-02,1000.6159,,,
2013-06-03,1000.6159,,,
2013-06-04,1000.6159,,,
2013-06-05,1000.6159,,,
2013-06-06,1000.6159,,,
2013-06-07,1000.6159,,,
2013-06-08,1000.6159,,,
2013-06-09,1000.6159,,,
2013-06-10,1000.6159,,,
2013-06-11,1000.6159,,,
2013-06-12,1000.6159,,,
2013-06-13,1000.6159,,,
2013-06-14,1000.6159,,,
2013-06-15,1000.6159,,,
2013-06-16,1000.6159,,,
2013-06-17,1000.6159,,,
2013-06-18,1000.6159,,,
2013-06-19,1000.6159,,,
2013-06-20,1000.6159,,,
2013-06-21,1000.6159,,,
2013-06-22,1000.6159,,,
2013-06-23,1000.6159,,,
2013-06-24,1000.6159,,,
2013-06-25,1000.6159,,,
2013-06-26,1000.6159,,,
