2014-02-07,10.009
2014-02-08,10.009
2014-02-09,10.009
2014-02-10,10.0157
2014-02-11,10.0165
2014-02-12,10.0154
2014-02-13,10.0124
2014-02-14,10.0112
2014-02-15,10.0112
2014-02-16,10.0112
2014-02-17,10.0183
2014-02-18,10.0209
2014-02-19,10.0209
2014-02-20,10.0258
2014-02-21,10.0291
2014-02-22,10.0291
2014-02-23,10.0291
2014-02-24,10.0363
2014-02-25,10.0397
2014-02-26,10.0407
2014-02-27,10.0407
2014-02-28,10.0439
2014-03-01,10.0439
2014-03-02,10.0439
2014-03-03,10.0429
2014-03-04,10.0425
2014-03-05,10.0587
2014-03-06,10.0619
2014-03-07,10.0727
2014-03-08,10.0727
2014-03-09,10.0727
2014-03-10,10.0813
2014-03-11,10.0901
2014-03-12,10.0927
2014-03-13,10.0945
2014-03-14,10.1033
2014-03-15,10.1033
2014-03-16,10.1033
2014-03-17,10.1033
2014-03-18,10.1154
2014-03-19,10.1194
2014-03-20,10.1254
2014-03-21,10.1381
2014-03-22,10.1381
2014-03-23,10.1381
2014-03-24,10.1505
2014-03-25,10.1524
2014-03-26,10.1513
2014-03-27,10.153
2014-03-28,10.1668
2014-03-29,10.1668
2014-03-30,10.1668
2014-03-31,10.1668
2014-04-01,10.1668
2014-04-02,10.172
2014-04-03,10.1731
2014-04-04,10.1734
2014-04-05,10.1734
2014-04-06,10.1734
2014-04-07,10.18
2014-04-08,10.18
2014-04-09,10.1805
2014-04-10,10.1846
2014-04-11,10.187
2014-04-12,10.187
2014-04-13,10.187
2014-04-14,10.187
2014-04-15,10.1975
2014-04-16,10.2003
2014-04-17,10.2059
2014-04-18,10.2059
2014-04-19,10.2059
2014-04-20,10.2059
2014-04-21,10.2154
2014-04-22,10.2173
2014-04-23,10.2198
2014-04-24,10.2198
2014-04-25,10.2242
2014-04-26,10.2242
2014-04-27,10.2242
2014-04-28,10.2299
2014-04-29,10.2316
2014-04-30,10.2359
2014-05-01,10.2359
2014-05-02,10.2404
2014-05-03,10.2404
2014-05-04,10.2404
2014-05-05,10.2483
2014-05-06,10.2519
2014-05-07,10.2545
2014-05-08,10.2589
2014-05-09,10.2633
2014-05-10,10.2633
2014-05-11,10.2633
2014-05-12,10.2738
2014-05-13,10.275
2014-05-14,10.275
2014-05-15,10.2819
2014-05-16,10.2882
2014-05-17,10.2882
2014-05-18,10.2882
2014-05-19,10.294
2014-05-20,10.2977
2014-05-21,10.3024
2014-05-22,10.3067
2014-05-23,10.3101
2014-05-24,10.3101
2014-05-25,10.3101
2014-05-26,10.3181
2014-05-27,10.3192
2014-05-28,10.3208
2014-05-29,10.324
2014-05-30,10.3296
2014-05-31,10.3296
2014-06-01,10.3296
2014-06-02,10.3349
2014-06-03,10.341
2014-06-04,10.3476
2014-06-05,10.351
2014-06-06,10.3549
2014-06-07,10.3549
2014-06-08,10.3549
2014-06-09,10.3602
2014-06-10,10.3622
2014-06-11,10.3654
2014-06-12,10.3687
2014-06-13,10.3696
2014-06-14,10.3696
2014-06-15,10.3696
2014-06-16,10.3739
2014-06-17,10.3758
2014-06-18,10.3787
2014-06-19,10.3811
2014-06-20,10.383
2014-06-21,10.383
2014-06-22,10.383
2014-06-23,10.3892
2014-06-24,10.3917
2014-06-25,10.3941
2014-06-26,10.3975
2014-06-27,10.4002
2014-06-28,10.4002
2014-06-29,10.4002
2014-06-30,10.4109
2014-07-01,10.4109
2014-07-02,10.4166
2014-07-03,10.4195
2014-07-04,10.423
2014-07-05,10.423
2014-07-06,10.423
2014-07-07,10.4298
2014-07-08,10.4316
2014-07-09,10.4331
2014-07-10,10.4337
2014-07-11,10.4263
2014-07-12,10.4263
2014-07-13,10.4263
2014-07-14,10.4336
2014-07-15,10.4372
2014-07-16,10.4414
2014-07-17,10.4449
2014-07-18,10.4482
2014-07-19,10.4482
